Model Type,Augmentation,Ensemble Size,Method,Accuracy,F1_Score
MLP,Yes,1,SoftVote_TTA_1,51.800000000000004,51.36430484693696
MLP,Yes,1,SoftVote_TTA_2,52.14,51.78170441603398
MLP,Yes,1,SoftVote_TTA_3,51.76,51.52365259567483
MLP,Yes,1,SoftVote_TTA_4,50.44,50.483386925989194
MLP,Yes,1,HardVoting,51.800000000000004,51.36430484693696
MLP,Yes,2,SoftVote_TTA_1,52.28,51.676634226496674
MLP,Yes,2,SoftVote_TTA_2,52.54,51.90186272774551
MLP,Yes,2,SoftVote_TTA_3,51.519999999999996,50.99300324891397
MLP,Yes,2,SoftVote_TTA_4,50.839999999999996,50.71418627360211
MLP,Yes,2,HardVoting,51.800000000000004,51.36430484693696
MLP,Yes,3,SoftVote_TTA_1,52.559999999999995,51.930460894318244
MLP,Yes,3,SoftVote_TTA_2,52.559999999999995,51.893541045861284
MLP,Yes,3,SoftVote_TTA_3,51.5,50.989379871360306
MLP,Yes,3,SoftVote_TTA_4,50.78,50.635772708363234
MLP,Yes,3,HardVoting,52.459999999999994,51.830267989543955
MLP,Yes,4,SoftVote_TTA_1,52.459999999999994,51.739085471391334
MLP,Yes,4,SoftVote_TTA_2,52.38,51.67590781264898
MLP,Yes,4,SoftVote_TTA_3,51.66,51.117543297906906
MLP,Yes,4,SoftVote_TTA_4,50.82,50.605844337655725
MLP,Yes,4,HardVoting,52.28,51.61583156805772
MLP,Yes,5,SoftVote_TTA_1,52.38,51.673096386629865
MLP,Yes,5,SoftVote_TTA_2,52.1,51.373699943160965
MLP,Yes,5,SoftVote_TTA_3,51.2,50.68013736856285
MLP,Yes,5,SoftVote_TTA_4,50.32,50.151557751768024
MLP,Yes,5,HardVoting,52.1,51.35405505699534
CNN,Yes,1,SoftVote_TTA_1,77.14,77.0728485907992
CNN,Yes,1,SoftVote_TTA_2,77.56,77.4853688552686
CNN,Yes,1,SoftVote_TTA_3,76.8,76.80728141535126
CNN,Yes,1,SoftVote_TTA_4,75.74,75.87335928271436
CNN,Yes,1,HardVoting,77.14,77.0728485907992
CNN,Yes,2,SoftVote_TTA_1,79.32000000000001,79.17671995274719
CNN,Yes,2,SoftVote_TTA_2,80.06,79.91920667687553
CNN,Yes,2,SoftVote_TTA_3,78.84,78.74680565472309
CNN,Yes,2,SoftVote_TTA_4,78.42,78.37756983264602
CNN,Yes,2,HardVoting,77.14,77.0728485907992
CNN,Yes,3,SoftVote_TTA_1,79.5,79.30169307197309
CNN,Yes,3,SoftVote_TTA_2,79.82000000000001,79.6309364977812
CNN,Yes,3,SoftVote_TTA_3,78.88,78.76033835540431
