Model Type,Augmentation,Ensemble Size,Method,Accuracy,F1_Score
MLP,Yes,1,SoftVote_TTA_1,64.6857142857143,63.73183011048064
MLP,Yes,1,SoftVote_TTA_2,64.97142857142858,64.00450140885636
MLP,Yes,1,SoftVote_TTA_3,65.21428571428571,64.26440000110246
MLP,Yes,1,SoftVote_TTA_4,65.5,64.52271923682078
MLP,Yes,1,HardVoting,64.6857142857143,63.73183011048064
MLP,Yes,2,SoftVote_TTA_1,64.94285714285715,64.02119978699601
MLP,Yes,2,SoftVote_TTA_2,64.94285714285715,63.94468585199353
MLP,Yes,2,SoftVote_TTA_3,65.07142857142857,64.07303907576856
MLP,Yes,2,SoftVote_TTA_4,65.55714285714286,64.53433668751742
MLP,Yes,2,HardVoting,64.6857142857143,63.73183011048064
MLP,Yes,3,SoftVote_TTA_1,65.04285714285714,64.15261342991684
MLP,Yes,3,SoftVote_TTA_2,65.2,64.2444235403049
MLP,Yes,3,SoftVote_TTA_3,65.24285714285715,64.27756536352433
MLP,Yes,3,SoftVote_TTA_4,65.60000000000001,64.60122164456476
MLP,Yes,3,HardVoting,65.01428571428572,64.0683978103883
MLP,Yes,4,SoftVote_TTA_1,65.25714285714285,64.36262045815862
MLP,Yes,4,SoftVote_TTA_2,65.15714285714286,64.28138579994587
MLP,Yes,4,SoftVote_TTA_3,65.22857142857143,64.29904695488638
MLP,Yes,4,SoftVote_TTA_4,65.5,64.50640543253947
MLP,Yes,4,HardVoting,65.04285714285714,64.1203341426273
MLP,Yes,5,SoftVote_TTA_1,64.94285714285715,64.03797635309539
MLP,Yes,5,SoftVote_TTA_2,65.04285714285714,64.17287124413708
MLP,Yes,5,SoftVote_TTA_3,65.2,64.35712378757825
MLP,Yes,5,SoftVote_TTA_4,65.3,64.34481337920116
MLP,Yes,5,HardVoting,64.55714285714286,63.659342613937255
CNN,Yes,1,SoftVote_TTA_1,79.42857142857143,79.03593023755879
CNN,Yes,1,SoftVote_TTA_2,80.64285714285714,80.31466768406153
CNN,Yes,1,SoftVote_TTA_3,80.74285714285713,80.41437153474287
